<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
YDEX;D;250502;000000;4113;4113;3900;3905.5;561471
YDEX;D;250503;000000;3940;3960;3909;3940.5;61146
YDEX;D;250504;000000;3945;3976;3940;3948.5;50717
YDEX;D;250505;000000;3955;3975;3814;3860;616394
YDEX;D;250506;000000;3860;4065.5;3817;4013;787680
YDEX;D;250507;000000;4015;4092;3961;3991;726515
YDEX;D;250508;000000;3991;4058.5;3987;3993.5;234269
YDEX;D;250510;000000;4008.5;4012;3993.5;3997;27073
YDEX;D;250511;000000;4075;4093.5;4041.5;4060;94491
YDEX;D;250512;000000;4080.5;4190;4080.5;4153.5;746321
YDEX;D;250513;000000;4158;4180.5;4072.5;4114.5;418666
YDEX;D;250514;000000;4115.5;4154;4021;4021;364017
YDEX;D;250515;000000;4020.5;4060.5;3924;3989.5;895960
YDEX;D;250516;000000;3997.5;4069.5;3910;4022;738567
YDEX;D;250517;000000;4022;4107;4022;4095;75066
YDEX;D;250518;000000;4109.5;4128;4083;4106;52172
YDEX;D;250519;000000;4108.5;4115.5;4032.5;4054;566174
YDEX;D;250520;000000;4064;4091;4021;4040.5;318991
YDEX;D;250521;000000;4042;4050;3971;3990.5;308074
YDEX;D;250522;000000;3990;4089;3925;4024;773429
YDEX;D;250523;000000;4032;4048;3996;4009.5;335512
YDEX;D;250526;000000;4002.5;4024;3886;3917;504972
YDEX;D;250527;000000;3917.5;4024;3855;3992.5;694856
YDEX;D;250528;000000;3995;4176;3995;4165;1192122
YDEX;D;250529;000000;4165.5;4180;4105;4117;482923
YDEX;D;250530;000000;4118.5;4207.5;4105;4172;678522
YDEX;D;250531;000000;4168.5;4189;4162.5;4165;17869
YDEX;D;250601;000000;4159;4159;4060;4062.5;170225
YDEX;D;250602;000000;4073.5;4177;4070.5;4145;756774
YDEX;D;250603;000000;4155;4240;4145.5;4232;907307
YDEX;D;250604;000000;4236.5;4266;4174;4200;885768
YDEX;D;250605;000000;4214.5;4296;4205.5;4282;596154
YDEX;D;250606;000000;4284.5;4350;4161;4169;1269586
YDEX;D;250607;000000;4189;4195;4170;4194;12630
YDEX;D;250608;000000;4194;4198;4152.5;4165.5;22234
YDEX;D;250609;000000;4167;4186;4050;4073;631966
YDEX;D;250610;000000;4085;4096;3963;3979;885577
YDEX;D;250611;000000;3994;4043;3944;3997.5;716144
YDEX;D;250613;000000;4018.5;4035;3975;3980;252552
YDEX;D;250614;000000;3988;4009;3988;3995;23701
YDEX;D;250615;000000;3999;4008.5;3984.5;4005;27260
YDEX;D;250616;000000;4010;4049.5;3962;3988;567717
YDEX;D;250617;000000;4003;4085;3984;4072;687403
YDEX;D;250618;000000;4080.5;4109;4036.5;4038.5;543520
YDEX;D;250619;000000;4049.5;4080;4030;4053;587191
YDEX;D;250620;000000;4063;4088.5;4030;4045.5;471265
YDEX;D;250623;000000;4045.5;4062;4004.5;4015;416292
